タスク内容	タスク一覧	ブラウザ	ノイズ因子
1	タスク1	Opera	うまいく方向の水準
組み合わせテストの問題?	タスク1	Chrome	うまくいかない方向の水準
組み合わせテストの問題?	なし	Edge	うまいく方向の水準
2019/05/31	タスク1タスク2タスク3	Edge	うまくいかない方向の水準
組み合わせテストの問題?	タスク1タスク2タスク3	Chrome	うまいく方向の水準
1	タスク1タスク2タスク3タスク4	Edge	うまくいかない方向の水準
2019/05/31	なし	Opera	うまくいかない方向の水準
1	タスク1タスク2タスク3	Chrome	うまくいかない方向の水準
2019/05/31	タスク1	Edge	うまいく方向の水準
組み合わせテストの問題?	タスク1タスク2タスク3	Opera	うまくいかない方向の水準
2019/05/31	タスク1タスク2タスク3タスク4	Opera	うまいく方向の水準
1	なし	Chrome	うまいく方向の水準
2019/05/31	タスク1タスク2タスク3タスク4	Chrome	うまくいかない方向の水準
組み合わせテストの問題?	タスク1タスク2タスク3タスク4	Edge	うまいく方向の水準
